,Team Name,Abbreviation,"City, State",Venue,Latitude,Longitude
0,Raptors,TOR,"Toronto, ON",Scotiabank Arena,43.643333,-79.379167
1,Celtics,BOS,"Boston, MA",TD Garden,42.366303,-71.062228
2,Knicks,NYK,"New York, NY",Madison Square Garden,40.750556,-73.993611
3,Nets,BRO,"Brooklyn, NY",Barclays Center,40.682661,-73.975225
4,76ers,PHI,"Philadelphia, PA",Wells Fargo Center,39.901111,-75.171944
5,Cavaliers,CLE,"Cleveland, OH",Rocket Mortgage Fieldhouse,41.496389,-81.688056
6,Pacers,IND,"Indianapolis, IN",Bankers Life Fieldhouse,39.763889,-86.155556
7,Pistons,DET,"Detroit, MI",Little Caesars Arena,42.341111,-83.055
8,Bulls,CHI,"Chicago, IL",United Center,41.880556,-87.674167
9,Bucks,MIL,"Milwaukee, WI",Fiserv Forum,43.045028,-87.918167
10,Hawks,ATL,"Atlanta, GA",State Farm Arena,33.757222,-84.396389
11,Heat,MIA,"Miami, FL",American Airlines Arena,25.781389,-80.188056
12,Hornets,CHA,"Charlotte, NC",Spectrum Center,35.225,-80.839167
13,Wizards,WAS,"Washington, DC",Capital One Arena,38.89801,-77.0231909
14,Magic,ORL,"Orlando, FL",Amway Center,28.539167,-81.383611
15,Thunder,OKL,"Oklahama City, OK",Chesapeake Energy Arena,35.463333,-97.515
16,Trail Blazers,POR,"Portland, OR",Moda Center,45.531667,-122.666667
17,Jazz,UTA,"Salt Lake City, UT",Vivint Smart Home Arena,40.768333,-111.901111
18,Nuggets,DEN,"Denver, CO",Pepsi Center,39.748611,-105.0075
19,Timberwolves,MIN,"Minneapolis, MN",Target Center,44.979444,-93.276111
20,Warriors,GSW,"San Francisco, CA",Chase Center,37.768056,-122.3875
21,Clippers,LAC,"Los Angeles, CA",Staples Center,34.043056,-118.267222
22,Kings,SAC,"Sacramento, CA",Golden 1 Center,38.580361,-121.499611
23,Suns,PHX,"Phoenix, AZ",Talking Stick Resort Arena,33.445833,-112.071389
24,Lakers,LAL,"Los Angeles, CA",Staples Center,34.043056,-118.267222
25,Spurs,SAS,"San Antonio, TX",AT&T Center,29.426944,-98.4375
26,Grizzlies,MEM,"Memphis, TN",FedEx Forum,35.138333,-90.050556
27,Mavericks,DAL,"Dallas, TX",American Airlines Center,32.790556,-96.810278
28,Rockets,HOU,"Houston, TX",Toyota Center,29.750833,-95.362222
29,Pelicans,NOP,"New Orleans, LA",Smoothie King Center,29.948889,-90.081944
